ID_VENTA,FECHA_VENTA,MODELO_AUTO,CANTIDAD,PRECIO_UNITARIO,TARJETA_DE_CREDITO
1,24/08/2022,Legacy,37,64778.6,67614311964860215
2,20/01/2015,Dakota,17,94446.86,4405940247380702
3,11/12/2003,Grand Prix,5,65251.85,4026857212421981
4,25/01/2002,7 Series,30,97740.81,5100134264088407
5,27/03/2013,S4,32,58307.11,30063797538180
6,30/06/2007,CR-V,24,81933.73,3530473082737109
7,12/11/2000,Rabbit,43,82495.23,3559370138359597
8,26/01/2016,X5,8,75759.81,3528935821278011
9,07/09/2000,Continental Flying Spur,48,60099.0,4508632135612942
10,21/08/2002,Forester,37,31734.07,3549340674951233
11,15/07/2009,Wrangler,22,58352.55,6771684852505390
12,16/10/2014,Sierra 1500,49,40053.63,3584976855693502
13,07/09/2003,Range Rover,5,44675.6,3586071426939622
14,27/05/2009,Capri,11,22347.47,4041590927935
15,01/02/2008,9-5,8,80798.05,201647425473183
16,11/06/2003,Laser,40,92919.72,3548102527734708
17,23/03/2003,MPV,50,96782.64,4911039775340485669
18,20/04/2000,Dakota Club,3,63126.96,50203689795138502
19,30/01/2016,Grand Caravan,3,83773.27,30176063518023
20,28/07/2021,Envoy,43,18465.74,374283522594191
21,02/07/2004,HHR,46,92578.73,3532158156849488
22,10/10/2011,CR-V,41,78444.93,56022438812321667
23,24/07/2009,Optima,50,68866.0,3560837525859204
24,26/10/2022,Avalon,25,16930.82,3538330172834844
25,27/05/2015,SLK-Class,27,81785.65,6376776790305484
26,04/10/2006,MX-3,48,61521.73,58934574642854114
27,25/04/2020,Ranger,37,91245.1,3530630889073075
28,16/10/2003,Camaro,18,48264.6,6706734108960509
29,15/12/2004,Avenger,14,73467.3,3583752184817257
30,04/04/2001,Raider,3,57781.4,3549893387390644
31,23/12/2011,G-Class,9,98828.98,3555143788254952
32,21/05/2003,Esprit,14,83617.31,501868139880764265
33,03/05/2015,Escort,29,46144.42,6759202420914980
34,08/04/2011,Daewoo Lacetti,1,99694.9,4126363142364
35,25/10/2022,Colorado,29,84493.0,5610105913972004
36,24/02/2019,530,37,75597.73,3554613574463091
37,03/08/2007,Malibu,5,6531.37,3574661233099109
38,10/07/2010,Sable,20,39619.71,675913752407196139
39,29/07/2019,G,50,95968.8,67599530879874792
40,05/04/2005,APV,10,48716.48,3539706006950709
41,05/11/2004,3500,21,80577.12,3530344952841356
42,06/03/2004,929,48,18678.31,67634980690274432
43,23/03/2013,Tacoma,4,80134.56,3573177704482162
44,28/06/2013,Navigator,43,64218.04,5108752314561222
45,24/10/2006,S80,24,77803.6,58931478856122437
46,27/12/2019,GS,14,77202.62,5002357271270713
47,28/10/2013,Tiburon,16,29014.34,5100134826407673
48,25/08/2013,Aerio,20,84776.87,3553731038504101
49,12/02/2009,Navigator,9,15767.9,6378499176607419
50,15/01/2006,I,34,58773.1,6762264441922611
51,08/11/2007,Jetta,44,37146.63,5150318324076820
52,04/12/2011,LHS,22,90033.02,3546336311917838
53,07/10/2006,Optima,33,49571.53,3537647562935175
54,03/05/2006,Protege,32,74678.13,3589044889077039
55,20/03/2011,Z4 M,4,63225.57,3553723164116016
56,19/06/2004,Econoline E150,12,28319.31,633486021858229229
57,13/08/2017,Sebring,36,37702.11,3545487490255143
58,21/12/2017,A6,47,64144.54,3532742875803569
59,06/01/2005,Eclipse,41,59475.24,3585589773931968
60,18/07/2000,Explorer Sport,48,79123.88,3553385715433173
61,08/09/2007,F-Series,23,28536.51,4903187555518596993
62,10/04/2004,QX,37,77824.78,5100177346444718
63,21/01/2007,7 Series,14,92854.39,3579891509016504
64,09/09/2016,Sunfire,36,31796.56,5602259258837429
65,26/11/2002,Voyager,5,27950.77,3540777266343122
66,03/07/2005,QX,25,67342.16,67615221320509282
67,28/10/2020,Sidekick,8,5924.93,4041590879334
68,12/07/2015,Suburban 2500,10,39783.58,3580580183971665
69,31/03/2022,Spectra,35,17138.75,6763944053983261
70,17/02/2017,VUE,9,62699.22,3564187858689984
71,12/11/2019,Mighty Max Macro,30,48477.69,4405718884639337
72,31/05/2016,SVX,28,43488.9,6759164802445656313
73,19/04/2012,Diablo,34,41605.64,3555924787828858
74,06/10/2018,Achieva,10,12289.98,5100179371623869
75,03/06/2018,Sentra,20,4047.8,3541094667947421
76,21/08/2002,XC70,19,70625.93,5610207967463276
77,06/09/2006,XJ Series,8,22564.35,3580712550512489
78,25/02/2017,Jetta,5,44699.49,5516816423171607
79,18/01/2020,3500,35,82464.26,3578823332820548
80,11/07/2022,Envoy,33,22834.2,6767429828666626093
81,19/01/2001,TT,29,64773.67,3576488519360676
82,05/05/2013,Cougar,4,73744.57,503856863657766019
83,20/06/2016,Range Rover,28,90422.83,5100174205928055
84,01/05/2002,Bonneville,20,51949.86,5010124373763742
85,30/01/2015,APV,17,22441.58,5602232188027254
86,13/11/2017,Terraza,20,57712.16,4903413364091178
87,14/04/2002,Grand Cherokee,28,64419.81,3545844261439068
88,01/12/2004,G,21,51372.25,3543959137489600
89,29/11/2013,Q,17,70741.64,3580852419889460
90,11/08/2000,MR2,21,71529.89,3589630312227587
91,05/12/2018,Z3,43,39993.84,3528870143529595
92,29/04/2012,SLK-Class,9,68788.75,3538163841788426
93,28/08/2016,760,37,30734.64,6394777107140786
94,21/08/2017,Forester,15,17978.73,3553062485017888
95,13/07/2003,Grand Prix,2,54952.18,3534711517282902
96,14/04/2020,XC70,21,37043.46,63043293058684976
97,31/07/2009,Viper,17,5124.12,343677280820359
98,17/03/2000,Grand Cherokee,34,6487.26,4508498515800683
99,12/10/2001,Yukon XL,39,60949.97,3573683416073124
100,08/12/2018,9-7X,4,64768.61,3535617568037658
